departure_date,booking_date,cum_bookings
5/1/2012,3/2/2012,0
5/1/2012,3/3/2012,0
5/1/2012,3/4/2012,0
5/1/2012,3/5/2012,0
5/1/2012,3/6/2012,1
5/1/2012,3/7/2012,1
5/1/2012,3/8/2012,1
5/1/2012,3/9/2012,4
5/1/2012,3/10/2012,4
5/1/2012,3/11/2012,4
5/1/2012,3/12/2012,4
5/1/2012,3/13/2012,4
5/1/2012,3/14/2012,4
5/1/2012,3/15/2012,7
5/1/2012,3/16/2012,7
5/1/2012,3/17/2012,7
5/1/2012,3/18/2012,7
5/1/2012,3/19/2012,8
5/1/2012,3/20/2012,8
5/1/2012,3/21/2012,8
5/1/2012,3/22/2012,9
5/1/2012,3/23/2012,11
5/1/2012,3/24/2012,12
5/1/2012,3/25/2012,13
5/1/2012,3/26/2012,14
5/1/2012,3/27/2012,16
5/1/2012,3/28/2012,17
5/1/2012,3/29/2012,30
5/1/2012,3/30/2012,35
5/1/2012,3/31/2012,35
5/1/2012,4/1/2012,36
5/1/2012,4/2/2012,40
5/1/2012,4/3/2012,43
5/1/2012,4/4/2012,44
5/1/2012,4/5/2012,50
5/1/2012,4/6/2012,51
5/1/2012,4/7/2012,51
5/1/2012,4/8/2012,51
5/1/2012,4/9/2012,60
5/1/2012,4/10/2012,63
5/1/2012,4/11/2012,67
5/1/2012,4/12/2012,73
5/1/2012,4/13/2012,79
5/1/2012,4/14/2012,83
5/1/2012,4/15/2012,84
5/1/2012,4/16/2012,101
5/1/2012,4/17/2012,116
5/1/2012,4/18/2012,131
5/1/2012,4/19/2012,137
5/1/2012,4/20/2012,146
5/1/2012,4/21/2012,152
5/1/2012,4/22/2012,155
5/1/2012,4/23/2012,177
5/1/2012,4/24/2012,209
5/1/2012,4/25/2012,229
5/1/2012,4/26/2012,254
5/1/2012,4/27/2012,269
5/1/2012,4/28/2012,273
5/1/2012,4/29/2012,283
5/1/2012,4/30/2012,309
5/1/2012,5/1/2012,412
5/2/2012,3/3/2012,0
5/2/2012,3/4/2012,0
5/2/2012,3/5/2012,0
5/2/2012,3/6/2012,1
5/2/2012,3/7/2012,1
5/2/2012,3/8/2012,1
5/2/2012,3/9/2012,4
5/2/2012,3/10/2012,4
5/2/2012,3/11/2012,4
5/2/2012,3/12/2012,4
5/2/2012,3/13/2012,4
5/2/2012,3/14/2012,4
5/2/2012,3/15/2012,7
5/2/2012,3/16/2012,7
5/2/2012,3/17/2012,7
5/2/2012,3/18/2012,7
5/2/2012,3/19/2012,8
5/2/2012,3/20/2012,8
5/2/2012,3/21/2012,8
5/2/2012,3/22/2012,10
5/2/2012,3/23/2012,10
5/2/2012,3/24/2012,10
5/2/2012,3/25/2012,11
5/2/2012,3/26/2012,12
5/2/2012,3/27/2012,15
5/2/2012,3/28/2012,16
5/2/2012,3/29/2012,29
5/2/2012,3/30/2012,35
5/2/2012,3/31/2012,35
5/2/2012,4/1/2012,35
5/2/2012,4/2/2012,37
5/2/2012,4/3/2012,39
5/2/2012,4/4/2012,41
5/2/2012,4/5/2012,46
5/2/2012,4/6/2012,49
5/2/2012,4/7/2012,49
5/2/2012,4/8/2012,49
5/2/2012,4/9/2012,64
5/2/2012,4/10/2012,67
5/2/2012,4/11/2012,73
5/2/2012,4/12/2012,79
5/2/2012,4/13/2012,88
5/2/2012,4/14/2012,91
5/2/2012,4/15/2012,92
5/2/2012,4/16/2012,107
5/2/2012,4/17/2012,133
5/2/2012,4/18/2012,147
5/2/2012,4/19/2012,158
5/2/2012,4/20/2012,163
5/2/2012,4/21/2012,166
5/2/2012,4/22/2012,169
5/2/2012,4/23/2012,192
5/2/2012,4/24/2012,205
5/2/2012,4/25/2012,222
5/2/2012,4/26/2012,266
5/2/2012,4/27/2012,276
5/2/2012,4/28/2012,280
5/2/2012,4/29/2012,281
5/2/2012,4/30/2012,304
5/2/2012,5/1/2012,340
5/2/2012,5/2/2012,392
5/3/2012,3/4/2012,0
5/3/2012,3/5/2012,0
5/3/2012,3/6/2012,0
5/3/2012,3/7/2012,0
5/3/2012,3/8/2012,0
5/3/2012,3/9/2012,0
5/3/2012,3/10/2012,0
5/3/2012,3/11/2012,0
5/3/2012,3/12/2012,0
5/3/2012,3/13/2012,0
5/3/2012,3/14/2012,0
5/3/2012,3/15/2012,1
5/3/2012,3/16/2012,1
5/3/2012,3/17/2012,1
5/3/2012,3/18/2012,1
5/3/2012,3/19/2012,2
5/3/2012,3/20/2012,2
5/3/2012,3/21/2012,2
5/3/2012,3/22/2012,4
5/3/2012,3/23/2012,4
5/3/2012,3/24/2012,4
5/3/2012,3/25/2012,4
5/3/2012,3/26/2012,4
5/3/2012,3/27/2012,7
5/3/2012,3/28/2012,7
5/3/2012,3/29/2012,10
5/3/2012,3/30/2012,12
5/3/2012,3/31/2012,12
5/3/2012,4/1/2012,12
5/3/2012,4/2/2012,12
5/3/2012,4/3/2012,14
5/3/2012,4/4/2012,15
5/3/2012,4/5/2012,18
5/3/2012,4/6/2012,39
5/3/2012,4/7/2012,39
5/3/2012,4/8/2012,39
5/3/2012,4/9/2012,46
5/3/2012,4/10/2012,47
5/3/2012,4/11/2012,54
5/3/2012,4/12/2012,54
5/3/2012,4/13/2012,59
5/3/2012,4/14/2012,60
5/3/2012,4/15/2012,60
5/3/2012,4/16/2012,68
5/3/2012,4/17/2012,83
5/3/2012,4/18/2012,86
5/3/2012,4/19/2012,90
5/3/2012,4/20/2012,93
5/3/2012,4/21/2012,95
5/3/2012,4/22/2012,96
5/3/2012,4/23/2012,115
5/3/2012,4/24/2012,128
5/3/2012,4/25/2012,139
5/3/2012,4/26/2012,161
5/3/2012,4/27/2012,165
5/3/2012,4/28/2012,168
5/3/2012,4/29/2012,169
5/3/2012,4/30/2012,181
5/3/2012,5/1/2012,199
5/3/2012,5/2/2012,215
5/3/2012,5/3/2012,231
5/4/2012,3/5/2012,0
5/4/2012,3/6/2012,0
5/4/2012,3/7/2012,1
5/4/2012,3/8/2012,1
5/4/2012,3/9/2012,1
5/4/2012,3/10/2012,1
5/4/2012,3/11/2012,1
5/4/2012,3/12/2012,1
5/4/2012,3/13/2012,1
5/4/2012,3/14/2012,1
5/4/2012,3/15/2012,1
5/4/2012,3/16/2012,1
5/4/2012,3/17/2012,1
5/4/2012,3/18/2012,1
5/4/2012,3/19/2012,1
5/4/2012,3/20/2012,1
5/4/2012,3/21/2012,1
5/4/2012,3/22/2012,1
5/4/2012,3/23/2012,1
5/4/2012,3/24/2012,2
5/4/2012,3/25/2012,2
5/4/2012,3/26/2012,2
5/4/2012,3/27/2012,5
5/4/2012,3/28/2012,5
5/4/2012,3/29/2012,5
5/4/2012,3/30/2012,5
5/4/2012,3/31/2012,6
5/4/2012,4/1/2012,6
5/4/2012,4/2/2012,6
5/4/2012,4/3/2012,9
5/4/2012,4/4/2012,9
5/4/2012,4/5/2012,9
5/4/2012,4/6/2012,27
5/4/2012,4/7/2012,27
5/4/2012,4/8/2012,27
5/4/2012,4/9/2012,29
5/4/2012,4/10/2012,29
5/4/2012,4/11/2012,36
5/4/2012,4/12/2012,36
5/4/2012,4/13/2012,36
5/4/2012,4/14/2012,36
5/4/2012,4/15/2012,36
5/4/2012,4/16/2012,37
5/4/2012,4/17/2012,38
5/4/2012,4/18/2012,38
5/4/2012,4/19/2012,38
5/4/2012,4/20/2012,39
5/4/2012,4/21/2012,39
5/4/2012,4/22/2012,41
5/4/2012,4/23/2012,46
5/4/2012,4/24/2012,49
5/4/2012,4/25/2012,55
5/4/2012,4/26/2012,60
5/4/2012,4/27/2012,61
5/4/2012,4/28/2012,62
5/4/2012,4/29/2012,62
5/4/2012,4/30/2012,68
5/4/2012,5/1/2012,77
5/4/2012,5/2/2012,85
5/4/2012,5/3/2012,89
5/4/2012,5/4/2012,124
5/5/2012,3/6/2012,0
5/5/2012,3/7/2012,1
5/5/2012,3/8/2012,5
5/5/2012,3/9/2012,5
5/5/2012,3/10/2012,5
5/5/2012,3/11/2012,5
5/5/2012,3/12/2012,5
5/5/2012,3/13/2012,5
5/5/2012,3/14/2012,5
5/5/2012,3/15/2012,5
5/5/2012,3/16/2012,7
5/5/2012,3/17/2012,7
5/5/2012,3/18/2012,7
5/5/2012,3/19/2012,7
5/5/2012,3/20/2012,7
5/5/2012,3/21/2012,7
5/5/2012,3/22/2012,8
5/5/2012,3/23/2012,8
5/5/2012,3/24/2012,9
5/5/2012,3/25/2012,9
5/5/2012,3/26/2012,9
5/5/2012,3/27/2012,11
5/5/2012,3/28/2012,11
5/5/2012,3/29/2012,11
5/5/2012,3/30/2012,11
5/5/2012,3/31/2012,14
5/5/2012,4/1/2012,14
5/5/2012,4/2/2012,14
5/5/2012,4/3/2012,14
5/5/2012,4/4/2012,14
5/5/2012,4/5/2012,14
5/5/2012,4/6/2012,14
5/5/2012,4/7/2012,14
5/5/2012,4/8/2012,14
5/5/2012,4/9/2012,16
5/5/2012,4/10/2012,17
5/5/2012,4/11/2012,22
5/5/2012,4/12/2012,22
5/5/2012,4/13/2012,22
5/5/2012,4/14/2012,22
5/5/2012,4/15/2012,22
5/5/2012,4/16/2012,25
5/5/2012,4/17/2012,27
5/5/2012,4/18/2012,29
5/5/2012,4/19/2012,32
5/5/2012,4/20/2012,34
5/5/2012,4/21/2012,35
5/5/2012,4/22/2012,37
5/5/2012,4/23/2012,42
5/5/2012,4/24/2012,46
5/5/2012,4/25/2012,47
5/5/2012,4/26/2012,52
5/5/2012,4/27/2012,55
5/5/2012,4/28/2012,56
5/5/2012,4/29/2012,60
5/5/2012,4/30/2012,66
5/5/2012,5/1/2012,68
5/5/2012,5/2/2012,78
5/5/2012,5/3/2012,86
5/5/2012,5/4/2012,106
5/5/2012,5/5/2012,145
5/6/2012,3/7/2012,0
